"Name","Type","Damage","Properties","Mastery","Text"
"Battleaxe","weapon, martial weapon, melee weapon","1d8 Slashing","Versatile (1d10)","Mastery: Topple","Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Bellow Flute","weapon, martial weapon, melee weapon","1d6 Bludgeoning","finesse","","The traditional Obojiman instrument has gotten a second life as a swift club-like weapon commonly used by traveling performers. It is crafted from a special coral found all across the shallows, which naturally forms with dozens of tiny holes that run throughout the body of the instrumental weapon. When swung it emits a beautiful harmonic sound. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
"Blowgun","weapon, martial weapon, ranged weapon","1 Piercing","Ammunition (Range 25/100 ft.; Needle), Loading","Mastery: Vex","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Boat Oar","weapon, simple weapon, melee weapon","1d10 Bludgeoning","two‑handed","","Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Boomerang","weapon, simple weapon, melee weapon","1d6 Slashing","finesse, thrown (60/180 ft.), special","","Special. When thrown, the boomerang returns to an unoccupied space adjacent to you. As a reaction, you can choose to catch it. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Butterfly Staff","weapon, simple weapon, melee weapon","1d4 Bludgeoning","finesse, versatile (1d6), special","","Although it can be used as a weapon, the butterfly staff is more commonly used as a tool to catch small spirits and critters. Its tall haft is capped with a well-woven net, which is often made from sheep dragon wool. Special. When you make a grapple check while holding the butterfly staff, you can use the staff to target a Small or smaller creature that is up to 10 feet away from you. When you do so, you use your attack modifier for the weapon in place of your Strength (Athletics) check. While grappling a creature in this way, you can't make another attack with the butterfly staff. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Candlemaker's Club","weapon, martial weapon, melee weapon","2d6 Bludgeoning","heavy, two‑handed, special","","These heavy honey dipper shaped clubs are traditionally used for mixing the giant vats of wax used by the Courier Brigade to seal packages and craft candles. They're now used by postal knights and adventurers as a useful defensive and offensive tool. Special. While wielding a candlemaker's club, you can use a bonus action to extinguish a flame within 5 feet of you. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Club","weapon, simple weapon, melee weapon","1d4 Bludgeoning","Light","Mastery: Slow","Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Dagger","weapon, simple weapon, melee weapon","1d4 Piercing","Finesse, Light, Thrown (20/60 ft.)","Mastery: Nick","Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
"Dandelion Spear","weapon, martial weapon, melee weapon","1d8 Piercing","heavy, reach, versatile (1d10)","","This strange and intimidating weapon was made for fishing in the reefs and crags of the Shallows. Its long haft is tipped with a spherical array of thin sharp barbs, which gave the spear its title, as its silhouette is reminiscent of a blooming dandelion. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Dart","weapon, simple weapon, ranged weapon","1d4 Piercing","Finesse, Thrown (20/60 ft.)","Mastery: Vex","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Double-Bladed Scimitar","weapon, martial weapon, melee weapon","2d4 Slashing","two‑handed, special","","Special. If you attack with a double-bladed scimitar as part of the Attack action on your turn, you can use a bonus action immediately after to make a melee attack with it. This attack deals 1d4 slashing damage on a hit, instead of 2d4. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Drive Shaft","weapon, martial weapon, melee weapon","3d4 Bludgeoning","heavy, two‑handed","","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Fan","weapon, simple weapon, melee weapon","1d4 Slashing","finesse, light, special","","Special. When you're hit by a ranged weapon attack, you can use your reaction to reduce the incoming damage of the attack by a number equal to your Dexterity modifier. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Field Spear","weapon, martial weapon, melee weapon","1d6 Slashing","finesse, thrown (30/90 ft.), versatile (1d8)","","Also known as the merchant's blade, the field spear was proven a useful and sturdy tool by the hundreds of merchants and travelers that use it in their expeditions across the island. Its shorter haft is roughly half the size of a standard spear and its tip is more similar to a wide blade or dagger than the traditional spear tip. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
