Name,Rarity,Type,Value,Attunement,Text
Prism Glasses,common,wondrous item,53,,"This pair of magical glasses fits snugly against your face without needing to rest over your ears. The lenses are made using miniscule prisms that amplify color in dim conditions. If you have darkvision while wearing these glasses, you perceive color for the first 15 feet you see in darkness, instead of shades of gray. In addition, a colorblind creature wearing these glasses can perceive color normally."
Everbright Lantern,common,wondrous item,57,,"This bullseye lantern contains an Eberron dragonshard that sheds light comparable to that produced by a continual flame spell. An everbright lantern sheds light in a 120-foot cone; the closest 60 feet is bright light, and the farthest 60 feet is dim light."
Ring of Force Resistance,rare,ring,1825,requires attunement,You have resistance to force damage while wearing this ring. The ring is set with sapphire.
Spellwriter's Brace,rare,wondrous item,1040,requires attunement by a wizard,"This writer's hand brace allows you to prepare four extra spells from your spellbook whenever you finish a long rest. The spells can be no higher than 5th level and must be of a level for which you have spell slots. When you do, the prepared spells appear on the skin of your arm as abstract spell tattoos that represent them. You can prepare the same spell multiple times in this way, taking the necessary time in order to do so, to create multiple copies of the same spell tattoo.As an action, you can touch a willing creature and speak the brace's command word to transfer one of your spell tattoos to it, causing the spell tattoo to disappear from your arm and appear on the creature instead. You can only have one tattoo transferred in this way at a time. Transferring a second spell tattoo causes the first one to disappear.A spellcaster with a spell tattoo can expend a spell slot of the tattooed spell's level or higher, using its spell save DC, spell attack bonus, and spellcasting ability to do so. Once the spell is cast, its tattoo disappears.Any spell tattoos created by the brace disappear when you finish a long rest or remove the brace."
Heartstone,very rare,other,1359,,This lustrous black gem allows a night hag to become ethereal while it is in her possession. The touch of a heartstone also cures any disease. Crafting a heartstone takes 30 days.
Durability,uncommon,potion,479,,"When you drink this potion, your skin becomes as tough as thick leather that, for a short time, repairs itself. For 1 minute, you gain 10 temporary hit points at the start of each of your turns.34"
Wraps of Dyamak (Exalted),legendary,wondrous item,38721,requires attunement by a monk,"Created and wielded by the ancient warrior-monk Dyamak, these thick strips of enchanted cloth are stained to appear dark crimson with blood of unknown origin. The current resting place of the wraps is unknown. Dormant. When the Wraps of Dyamak are in a dormant state, you gain a +1 bonus to attack and damage rolls made with your unarmed strike while wearing them.In addition, when you finish a short or long rest, you gain a number of temporary hit points equal to your total number of ki points. Awakened. When the Wraps of Dyamak reach an awakened state, they gain the following properties:The bonus to attack and damage rolls with your unarmed strike increases to +2.You can cast the misty step spell from the wraps as a bonus action, vanishing in a cloud of crimson mist. This property of the wraps can't be used again until you finish a short or long rest, or until you score a critical hit with an unarmed strike against a hostile creature. Exalted. When the Wraps of Dyamak reach an exalted state, they gain the following properties:The bonus to attack and damage rolls with your unarmed strike increases to +3.When you hit with an unarmed strike, you can choose to make the attack a ravenous strike. The target takes an extra 6d6 necrotic damage, and you regain hit points equal to the amount of necrotic damage dealt. This property of the wraps can't be used again until you finish a long rest, or until you score a critical hit with an unarmed strike against a hostile creature. Vestige of Divergence. This item is a Vestige of Divergence, see Tal'Dorei Treasures for more information."
"Ioun Stone, Absorption",very rare,wondrous item,1361,requires attunement,"Roughly marble sized, Ioun Stones are named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of Ioun Stones exist, each type a distinct combination of shape and color.When you take a Magic action to toss an Ioun Stone into the air, the stone orbits your head at a distance of 1d3 feet, conferring its benefit to you while doing so. You can have up to three Ioun Stones orbiting your head at the same time.Each Ioun Stone orbiting your head is considered to be an object you are wearing. The orbiting stone avoids contact with other creatures and objects, adjusting its orbit to avoid collisions and thwarting all attempts by other creatures to attack or snatch it.As a Utilize action, you can seize and stow any number of Ioun Stones orbiting your head. If your Attunement to an Ioun Stone ends while it's orbiting your head, the stone falls as though you had dropped it.While this pale lavender ellipsoid orbits your head, you can take a Reaction to cancel a spell of level 4 or lower cast by a creature you can see. A canceled spell has no effect, and any resources used to cast it are wasted. Once the stone has canceled 20 levels of spells, it burns out, turns dull gray, and loses its magic."
Enspelled Armor (Cantrip),uncommon,generic variant,448,requires attunement,"Bound into this armor is a cantrip. The cantrip is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 13, and its attack bonus is +5. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Cantrip) Breastplate)Chain Mail (Enspelled (Cantrip) Chain Mail)Chain Shirt (Enspelled (Cantrip) Chain Shirt)Half Plate Armor (Enspelled (Cantrip) Half Plate Armor)Hide Armor (Enspelled (Cantrip) Hide Armor)Leather Armor (Enspelled (Cantrip) Leather Armor)Padded Armor (Enspelled (Cantrip) Padded Armor)Plate Armor (Enspelled (Cantrip) Plate Armor)Ring Mail (Enspelled (Cantrip) Ring Mail)Scale Mail (Enspelled (Cantrip) Scale Mail)Splint Armor (Enspelled (Cantrip) Splint Armor)Studded Leather Armor (Enspelled (Cantrip) Studded Leather Armor)"
Bow of Melodies,very rare,generic variant,3855,requires attunement,"This bow has multiple strings and resembles a lyre or small harp. By strumming the strings while setting an arrow to the bow, you imbue the arrow with magic.You can play one of the following melodies when you use the bow to make a ranged weapon attack. You must choose to do so before you make the attack roll, and you can play only one melody per attack. Melody of Precision. If you're proficient in Performance, you gain a +1 bonus to the attack roll. If you have expertise in Performance, you gain a +2 bonus instead. Melody of Reverberation. The melody you strum echoes loudly. On a hit, the target takes extra thunder damage equal to your Charisma modifier. Base items. This item variant can be applied to the following base items:Longbow (Longbow of Melodies)Shortbow (Shortbow of Melodies)"
