"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Abacus","PHB'14","150","none","adventuring gear","","","","","2 lb.","2 gp",""
"Acid","PHB'24","222","none","adventuring gear","","","","","1 lb.","25 gp","When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d6 Acid damage."
"Adamantine Ammunition","XGE","78","unknown","ammunition, generic variant","","","","","","","Ammunition made of or coated with adamantine is unusually effective when used to break objects. Whenever a piece of adamantine ammunition hits an object, the hit is a critical hit.The adamantine version of ten pieces of ammunition costs 500 gp more than the normal version, whether the ammunition is made of the metal or coated with it. Base items. This item variant can be applied to the following base items:Arrow (Adamantine Arrow)Bolt (Adamantine Bolt)Firearm Bullet (Adamantine Firearm Bullet)Needle (Adamantine Needle)Sling Bullet (Adamantine Sling Bullet)"
"Adamantine Bar","WDH","90","none","trade good","","","","","10 lb.","1,000 gp","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Adjustable Stilts","WDH","47","unknown","other","","","","","8 lb.","","The stilts take 1 minute to put on or remove. They increase the height of any humanoid wearing them by 2 to 5 feet. Each stilt weighs 8 pounds and is 1 foot long when fully collapsed."
"Aerenal Trinket","ERLW","134","none","adventuring gear","","","","","","","Trinkets from Aerenald8Trinket1A bronzewood ring inscribed with the Elvish word for ""hope""2A dried flower; if it's placed in water, it blooms3An ebony locket; when it's opened, an elven voice whispers ""Always""4A tiny skull carved from dark wood5A finger bone inscribed with an unknown sigil6An ivory flute which produces no sound7A small journal made from preserved leaves8A book of poetry written by undead elves"
"Airship","PHB'24","230","none","vehicle (air)","","Speed: 8 mphCarrying Capacity: 1 ton cargo, 20 passengersCrew 10, AC 13, HP 300","","","","40,000 gp","Speed. A ship sailing against a strong wind moves at half speed. In a dead calm (no wind), waterborne ships can't move under sail and must be rowed. Keelboats and Rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A Rowboat can be carried and weighs 100 pounds. Crew. A ship larger than a Keelboat or Rowboat needs a crew of skilled hirelings (see ""Services"") to function. The minimum number of skilled hirelings needed to crew a ship depends on the type of ship. Passengers. The number of Small and Medium passengers the ship can accommodate using hammocks. A ship outfitted with private accommodations can carry one-fifth as many passengers. A passenger usually pays 5 SP per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 GP per day. Damage Threshold. See the rules glossary. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 Hit Point of damage requires 1 day and costs 20 GP for materials and labor. If the repairs are made in a location where supplies and skilled labor are abundant, such as a city shipyard, the repair time and cost are halved."
"Alchemist's Doom","SCC","179","unknown","adventuring gear","","","","","1 lb.","","This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's doom as an improvised weapon. On a hit, the target takes 7 (2d6) fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames."
"Alchemist's Fire","PHB'24","222","none","adventuring gear","","","","","1 lb.","50 gp","When you take the Attack action, you can replace one of your attacks with throwing a flask of Alchemist's Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 1d4 Fire damage and start burning."
"Alchemist's Supplies","PHB'24","220","none","artisan's tools","","","","","8 lb.","50 gp","Ability: IntelligenceUtilize: Identify a substance (DC 15), or start a fire (DC 15)Craft: Acid, Alchemist's Fire, Component Pouch, Oil, Paper, PerfumeArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Ale (gallon)","PHB'14","158","none","food and drink","","","","","","2 sp",""
"Ale (mug)","PHB'24","231","none","food and drink","","","","","","4 cp",""
"Amulet","PHB'24","226","none","spellcasting focus","","","","","1 lb.","5 gp","For an Amulet to be an effective Holy Symbol, it must be worn or held.A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus."
"Antitoxin","PHB'24","222","none","adventuring gear","","","","","","50 gp","As a Bonus Action, you can drink a vial of Antitoxin to gain Advantage on saving throws to avoid or end the Poisoned condition for 1 hour."
"Arcane Focus","PHB'24","224","none","spellcasting focus","","","","","","","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus.Multiple variations of this item exist, as listed below:CrystalOrbRodStaffWand"
"Argonnessen Trinket","ERLW","134","none","adventuring gear","","","","","","","Trinkets from Argonnessend10Trinket1A pierced dragon scale on a cord2A statuette of a dragon carved from black bone3A dragon's tooth, engraved with an unknown sigil4A child's doll of a dragon, woven from leather cords5A dagger carved from a dragon's talon6A brass disk bearing the silhouette of a black dragon7A small egg-shaped piece of polished bone8A bone fragment with brass inlaid runes9A leather pouch filled with tiny draconic teeth10A single large seed that's warm to the touch"
"Arrow","PHB'24","222","none","ammunition","","","","","0.8 oz.","5 cp","Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"Arrows (20)","PHB'24","222","none","ammunition","","","","","1 lb.","1 gp","Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"Artisan's Tools","PHB'24","220","none","artisan's tools","","","","","","","Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.Multiple variations of this item exist, as listed below:Alchemist's SuppliesBrewer's SuppliesCalligrapher's SuppliesCarpenter's ToolsCartographer's ToolsCobbler's ToolsCook's UtensilsGlassblower's ToolsJeweler's ToolsLeatherworker's ToolsMason's ToolsPainter's SuppliesPotter's ToolsSmith's ToolsTinker's ToolsWeaver's ToolsWoodcarver's Tools"
"Assassin's Blood","DMG'24","90","none","adventuring gear, poison (ingested)","","","","","","150 gp","A creature subjected to Assassin's Blood makes a DC 10 Constitution saving throw. On a failed save, the creature takes 6 (1d12) Poison damage and has the Poisoned condition for 24 hours. On a successful save, the creature takes half as much damage only."
"Axe Beak","IDRotF","20","none","mount","","","","","","50 gp","An axe beak's splayed toes allow it to run across snow, and it can carry as much weight as a mule. A domesticated axe beak can be purchased in Ten-Towns for 50 gp."
"Backpack","PHB'24","224","none","adventuring gear","","","","","5 lb.","2 gp","A Backpack holds up to 30 pounds within 1 cubic foot. It can also serve as a saddlebag."
"Backpack Parachute","WDH","47","unknown","other","","","","","","","A humanoid wearing this piece of gear can deploy the parachute as a reaction while falling, or as an action otherwise. The parachute requires at least a 10-foot cube of unoccupied space in which to deploy, and it doesn't open fast enough to slow a fall of less than 60 feet. If it has sufficient time and space to deploy properly, the parachute allows its wearer to land without taking falling damage. Once it has been used, the parachute takes 10 minutes to repack."
"Bagpipes","PHB'24","221","none","instrument","","","","","6 lb.","30 gp","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Ball Bearing","PHB'14","151","none","adventuring gear","","","","","0.032 oz.","0.1 cp","Most commonly found inside a bag of ball bearings."
"Ball Bearings","PHB'24","224","none","adventuring gear","","","","","2 lb.","1 gp","As a Utilize action, you can spill Ball Bearings from their pouch. They spread to cover a level, 10-foot-square area within 10 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 10 Dexterity saving throw or have the Prone condition. It takes 10 minutes to recover the Ball Bearings."
"Barding","PHB'14","157","none","tack and harness","","","","","base weight ×2","base value ×4","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much. Base items. This item variant can be applied to the following base items:Breastplate (Breastplate Barding)Chain Mail (Chain Mail Barding)Chain Shirt (Chain Shirt Barding)Half Plate Armor (Half Plate Barding)Hide Armor (Hide Barding)Leather Armor (Leather Barding)Padded Armor (Padded Barding)Plate Armor (Plate Barding)Ring Mail (Ring Mail Barding)Scale Mail (Scale Mail Barding)Spiked Armor (Spiked Barding)Splint Armor (Splint Barding)Studded Leather Armor (Studded Leather Barding)"
"Barking Box","WDH","47","unknown","other","","","","","","","This metal cube, 6 inches on a side, has a crank on top. Using an action to wind the crank activates the box for 8 hours. While activated, the box barks whenever it detects vibrations within 15 feet of it, as long as the box and the source of the vibrations are in contact with the same ground or substance. A switch on one side of the box sets the device to emit either a small dog's bark or a large dog's bark."
"Barrel","PHB'24","224","none","adventuring gear","","","","","70 lb.","2 gp","A Barrel holds up to 40 gallons of liquid or up to 4 cubic feet of dry goods."
