name,Ability Score Increase,Age,Alignment,Size,Speed,Features, Languages,SkillProfToChooseFrom/Choose
"Changeling","Cha +2, Dex +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Mark of Hospitality)","Cha +2, Wis +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nEver Hospitable: Add d4 to Persuasion, brewer's supplies, or cook's utensils checks.\nInnkeeper's Magic: Know prestidigitation; cast purify food and drink and unseen servant 1/long rest (Charisma is spellcasting ability).\nSpells of the Mark: Mark of Hospitality spells added to spell list if you have Spellcasting or Pact Magic.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Mark of Healing)","Cha +2, Wis +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nMedical Intuition: Add d4 to Medicine or herbalism kit checks.\nHealing Touch: Cast cure wounds; at 3rd, cast lesser restoration 1/long rest (Wisdom is spellcasting ability).\nSpells of the Mark: Mark of Healing spells added to spell list if you have Spellcasting or Pact Magic.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Mark of Shadow)","Dex +2, Cha +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nCunning Intuition: Add d4 to Performance or Stealth checks.\nShape Shadows: Know minor illusion; at 3rd level, cast invisibility 1/long rest (Charisma is spellcasting ability).\nSpells of the Mark: Mark of Shadow spells added to spell list if you have Spellcasting or Pact Magic.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Selflessness)","Cha +2, Wis +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nOaka Birthmark (Selflessness): Know resilient friendship; at 3rd level, cast gift 1/long rest (Charisma is spellcasting ability).","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Shadar-kai)","Dex +2, Con +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nNecrotic Resistance: Resistance to necrotic damage.\nBlessing of the Raven Queen: Bonus action teleport 30 ft, 1/long rest; at 3rd level, gain resistance to all damage for 1 round after teleport.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Zendikar; Joraga Nation)","Wis +2, Dex +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nMask of the Wild: Can attempt to hide when lightly obscured by natural phenomena.\nFleet of Foot: Speed increases to 35 feet.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Zendikar; Mul Daya Nation)","Wis +2, Str +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nMul Daya Magic: Know chill touch; at 3rd level, cast hex 1/long rest; at 5th, cast darkness 1/long rest (Wisdom is spellcasting ability).\nSunlight Sensitivity: Disadvantage on attack rolls and Perception in sunlight.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Tarkir; Jeskai)","Dex +2, Wis +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nWay of the Open Hand: Proficiency in Acrobatics or Athletics.\nKi-Fueled Attack: Extra attack as bonus action if you spend ki.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Tarkir; Mardu)","Str +2, Cha +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nMardu Berserker: Rage 1/long rest, extra damage and resistance to damage while raging.\nReckless Attack: Advantage on first attack while raging, but attack rolls against you have advantage until your next turn.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Tarkir; Orzhov)","Wis +2, Cha +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nOrzhov Spellcasting: Know thaumaturgy cantrip; at 3rd level, cast disguise self 1/long rest (Charisma is spellcasting ability).","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Tarkir; Sultai)","Dex +2, Wis +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nSultai Spellcasting: Know poison spray cantrip; at 3rd level, cast blindness/deafness 1/long rest (Wisdom is spellcasting ability).","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Tasha's)","Cha +2, Int +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nTasha's Magic Resistance: Advantage on saves against spells and other magical effects.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Thorn)","Cha +2, Wis +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nThorn's Resilience: Resistance to necrotic damage.\nBlessing of the Raven Queen: Bonus action teleport 30 ft, 1/long rest; at 3rd level, gain resistance to all damage for 1 round after teleport.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
